CatalogNumber,VernacularNameCategory,VernacularName,ScientificName,VerbatimScientificName,TaxonRank,AphiaID,Phylum,Class,Subclass,Order,Suborder,Family,Subfamily,Genus,Subgenus,Species,Subspecies,ScientificNameAuthorship,Synonyms,IdentificationComments,IdentifiedBy,IdentificationDate,IdentificationQualifier,AssociatedSequences,IndividualCount,CategoricalAbundance,Density,Cover,VerbatimSize,WeightInKg,Condition,AssociatedTaxa,OccurrenceComments,Substrate,Habitat,Temperature,Salinity,pH,pHscale,pCO2,TA,DIC,Ocean,LargeMarineEcosystem,Country,FishCouncilRegion,Locality,Station,ObservationDate,ObservationYear,ObservationTime,latitude,longitude,DepthInMeters,DepthMethod,gisEtopoDepth,gisGEBCODepth,gisCRMDepth,StartLatitude,StartLongitude,EndLatitude,EndLongitude,MinimumDepthInMeters,MaximumDepthInMeters,LocationAccuracy,NavType,LocationComments,SurveyID,Vessel,PI,PIAffiliation,Purpose,SurveyComments,EventID,SamplingEquipment,VehicleName,OtherData,DataProvider,DataContact,Modified,RecordType,Repository,Citation,SampleID,TrackingID,DatasetID,WebSite,ImageURL
,,,,,,,,,,,,,,,,,,,,,,,,,,,,percent,,kg,,,,,,degrees_Celsius,PSU,,,microatmosphere,micromole/kg,micromole/kg,,,,,,,,,,degrees_north,degrees_east,m,,m,m,m,degrees_north,degrees_east,degrees_north,degrees_east,m,m,m,,,,,,,,,,,,,,,,,,,,,,,
121644,sea pen,,Balticina,Halipteris,genus,146534,Cnidaria,Anthozoa,Octocorallia,Scleralcyonacea,,Balticinidae,,Balticina,,,,"Gray, 1870",Gondul | Halipteris | Lygomorpha | Microptilum | Norticina | Osteocella | Pavonaria | Pavonaria (Verrillia) | Rakollikeria | Stichoptilum | Verrillia,DSCRTP_og_scientificname: Balticina,,2007-05-08,field ID by non-expert from video,,NaN,present,NaN,,,NaN,Live,,Collected by camera sled video,,,NaN,NaN,NaN,,NaN,NaN,NaN,North Pacific,California Current,USA,Pacific,Cordell Bank National Marine Sanctuary,,2007-05-08,2007,,37.9176,-123.3723,120,assigned,120,105,120,NaN,NaN,NaN,NaN,120,120,100m,,Depth value assigned from Coastal Relief Model,Fulmar/Sled 2007_03,Fulmar R/V,"Roberts, Dale","NOAA, Cordell Bank National Marine Sanctuary",CBNMS soft sediment characterization,,,towed camera,,,"NOAA, Cordell Bank National Marine Sanctuary","Graiff, Kaitlin: kaitlin.graiff@noaa.gov",2019-02-08,video observation,"NOAA, Cordell Bank National Marine Sanctuary",NOAA Central California Habitat Characterization and Monitoring,,,NOAA_FM-07-05,,
121645,sea pen,,Balticina,Halipteris,genus,146534,Cnidaria,Anthozoa,Octocorallia,Scleralcyonacea,,Balticinidae,,Balticina,,,,"Gray, 1870",Gondul | Halipteris | Lygomorpha | Microptilum | Norticina | Osteocella | Pavonaria | Pavonaria (Verrillia) | Rakollikeria | Stichoptilum | Verrillia,DSCRTP_og_scientificname: Balticina,,2007-05-08,field ID by non-expert from video,,NaN,present,NaN,,,NaN,Live,,Collected by camera sled video,,,NaN,NaN,NaN,,NaN,NaN,NaN,North Pacific,California Current,USA,Pacific,Cordell Bank National Marine Sanctuary,,2007-05-08,2007,,37.91783,-123.37257,120,assigned,120,105,120,NaN,NaN,NaN,NaN,120,120,100m,,Depth value assigned from Coastal Relief Model,Fulmar/Sled 2007_03,Fulmar R/V,"Roberts, Dale","NOAA, Cordell Bank National Marine Sanctuary",CBNMS soft sediment characterization,,,towed camera,,,"NOAA, Cordell Bank National Marine Sanctuary","Graiff, Kaitlin: kaitlin.graiff@noaa.gov",2019-02-08,video observation,"NOAA, Cordell Bank National Marine Sanctuary",NOAA Central California Habitat Characterization and Monitoring,,,NOAA_FM-07-05,,
121646,sea pen,,Balticina,Halipteris,genus,146534,Cnidaria,Anthozoa,Octocorallia,Scleralcyonacea,,Balticinidae,,Balticina,,,,"Gray, 1870",Gondul | Halipteris | Lygomorpha | Microptilum | Norticina | Osteocella | Pavonaria | Pavonaria (Verrillia) | Rakollikeria | Stichoptilum | Verrillia,DSCRTP_og_scientificname: Balticina,,2007-05-08,field ID by non-expert from video,,NaN,present,NaN,,,NaN,Live,,Collected by camera sled video,,,NaN,NaN,NaN,,NaN,NaN,NaN,North Pacific,California Current,USA,Pacific,Cordell Bank National Marine Sanctuary,,2007-05-08,2007,,37.91803,-123.37283,120,assigned,120,105,120,NaN,NaN,NaN,NaN,120,120,100m,,Depth value assigned from Coastal Relief Model,Fulmar/Sled 2007_03,Fulmar R/V,"Roberts, Dale","NOAA, Cordell Bank National Marine Sanctuary",CBNMS soft sediment characterization,,,towed camera,,,"NOAA, Cordell Bank National Marine Sanctuary","Graiff, Kaitlin: kaitlin.graiff@noaa.gov",2019-02-08,video observation,"NOAA, Cordell Bank National Marine Sanctuary",NOAA Central California Habitat Characterization and Monitoring,,,NOAA_FM-07-05,,
121647,sea pen,,Balticina,Halipteris,genus,146534,Cnidaria,Anthozoa,Octocorallia,Scleralcyonacea,,Balticinidae,,Balticina,,,,"Gray, 1870",Gondul | Halipteris | Lygomorpha | Microptilum | Norticina | Osteocella | Pavonaria | Pavonaria (Verrillia) | Rakollikeria | Stichoptilum | Verrillia,DSCRTP_og_scientificname: Balticina,,2007-05-08,field ID by non-expert from video,,NaN,present,NaN,,,NaN,Live,,Collected by camera sled video,,,NaN,NaN,NaN,,NaN,NaN,NaN,North Pacific,California Current,USA,Pacific,Cordell Bank National Marine Sanctuary,,2007-05-08,2007,,37.91822,-123.37307,120,assigned,120,105,120,NaN,NaN,NaN,NaN,120,120,100m,,Depth value assigned from Coastal Relief Model,Fulmar/Sled 2007_03,Fulmar R/V,"Roberts, Dale","NOAA, Cordell Bank National Marine Sanctuary",CBNMS soft sediment characterization,,,towed camera,,,"NOAA, Cordell Bank National Marine Sanctuary","Graiff, Kaitlin: kaitlin.graiff@noaa.gov",2019-02-08,video observation,"NOAA, Cordell Bank National Marine Sanctuary",NOAA Central California Habitat Characterization and Monitoring,,,NOAA_FM-07-05,,
121648,sea pen,,Balticina,Halipteris,genus,146534,Cnidaria,Anthozoa,Octocorallia,Scleralcyonacea,,Balticinidae,,Balticina,,,,"Gray, 1870",Gondul | Halipteris | Lygomorpha | Microptilum | Norticina | Osteocella | Pavonaria | Pavonaria (Verrillia) | Rakollikeria | Stichoptilum | Verrillia,DSCRTP_og_scientificname: Balticina,,2007-05-08,field ID by non-expert from video,,NaN,present,NaN,,,NaN,Live,,Collected by camera sled video,,,NaN,NaN,NaN,,NaN,NaN,NaN,North Pacific,California Current,USA,Pacific,Cordell Bank National Marine Sanctuary,,2007-05-08,2007,,37.91847,-123.37338,120,assigned,120,105,120,NaN,NaN,NaN,NaN,120,120,100m,,Depth value assigned from Coastal Relief Model,Fulmar/Sled 2007_03,Fulmar R/V,"Roberts, Dale","NOAA, Cordell Bank National Marine Sanctuary",CBNMS soft sediment characterization,,,towed camera,,,"NOAA, Cordell Bank National Marine Sanctuary","Graiff, Kaitlin: kaitlin.graiff@noaa.gov",2019-02-08,video observation,"NOAA, Cordell Bank National Marine Sanctuary",NOAA Central California Habitat Characterization and Monitoring,,,NOAA_FM-07-05,,
121649,sea pen,,Balticina,Halipteris,genus,146534,Cnidaria,Anthozoa,Octocorallia,Scleralcyonacea,,Balticinidae,,Balticina,,,,"Gray, 1870",Gondul | Halipteris | Lygomorpha | Microptilum | Norticina | Osteocella | Pavonaria | Pavonaria (Verrillia) | Rakollikeria | Stichoptilum | Verrillia,DSCRTP_og_scientificname: Balticina,,2007-05-08,field ID by non-expert from video,,NaN,present,NaN,,,NaN,Live,,Collected by camera sled video,,,NaN,NaN,NaN,,NaN,NaN,NaN,North Pacific,California Current,USA,Pacific,Cordell Bank National Marine Sanctuary,,2007-05-08,2007,,37.91867,-123.37365,120,assigned,120,105,120,NaN,NaN,NaN,NaN,120,120,100m,,Depth value assigned from Coastal Relief Model,Fulmar/Sled 2007_03,Fulmar R/V,"Roberts, Dale","NOAA, Cordell Bank National Marine Sanctuary",CBNMS soft sediment characterization,,,towed camera,,,"NOAA, Cordell Bank National Marine Sanctuary","Graiff, Kaitlin: kaitlin.graiff@noaa.gov",2019-02-08,video observation,"NOAA, Cordell Bank National Marine Sanctuary",NOAA Central California Habitat Characterization and Monitoring,,,NOAA_FM-07-05,,
121650,sea pen,,Balticina,Halipteris,genus,146534,Cnidaria,Anthozoa,Octocorallia,Scleralcyonacea,,Balticinidae,,Balticina,,,,"Gray, 1870",Gondul | Halipteris | Lygomorpha | Microptilum | Norticina | Osteocella | Pavonaria | Pavonaria (Verrillia) | Rakollikeria | Stichoptilum | Verrillia,DSCRTP_og_scientificname: Balticina,,2007-05-08,field ID by non-expert from video,,NaN,present,NaN,,,NaN,Live,,Collected by camera sled video,,,NaN,NaN,NaN,,NaN,NaN,NaN,North Pacific,California Current,USA,Pacific,Cordell Bank National Marine Sanctuary,,2007-05-08,2007,,37.91887,-123.37392,121,assigned,120,105,121,NaN,NaN,NaN,NaN,121,121,100m,,Depth value assigned from Coastal Relief Model,Fulmar/Sled 2007_03,Fulmar R/V,"Roberts, Dale","NOAA, Cordell Bank National Marine Sanctuary",CBNMS soft sediment characterization,,,towed camera,,,"NOAA, Cordell Bank National Marine Sanctuary","Graiff, Kaitlin: kaitlin.graiff@noaa.gov",2019-02-08,video observation,"NOAA, Cordell Bank National Marine Sanctuary",NOAA Central California Habitat Characterization and Monitoring,,,NOAA_FM-07-05,,
121651,sea pen,,Balticina,Halipteris,genus,146534,Cnidaria,Anthozoa,Octocorallia,Scleralcyonacea,,Balticinidae,,Balticina,,,,"Gray, 1870",Gondul | Halipteris | Lygomorpha | Microptilum | Norticina | Osteocella | Pavonaria | Pavonaria (Verrillia) | Rakollikeria | Stichoptilum | Verrillia,DSCRTP_og_scientificname: Balticina,,2007-05-08,field ID by non-expert from video,,NaN,present,NaN,,,NaN,Live,,Collected by camera sled video,,,NaN,NaN,NaN,,NaN,NaN,NaN,North Pacific,California Current,USA,Pacific,Cordell Bank National Marine Sanctuary,,2007-05-08,2007,,37.91908,-123.37418,121,assigned,120,105,121,NaN,NaN,NaN,NaN,121,121,100m,,Depth value assigned from Coastal Relief Model,Fulmar/Sled 2007_03,Fulmar R/V,"Roberts, Dale","NOAA, Cordell Bank National Marine Sanctuary",CBNMS soft sediment characterization,,,towed camera,,,"NOAA, Cordell Bank National Marine Sanctuary","Graiff, Kaitlin: kaitlin.graiff@noaa.gov",2019-02-08,video observation,"NOAA, Cordell Bank National Marine Sanctuary",NOAA Central California Habitat Characterization and Monitoring,,,NOAA_FM-07-05,,
121652,sea pen,,Balticina,Halipteris,genus,146534,Cnidaria,Anthozoa,Octocorallia,Scleralcyonacea,,Balticinidae,,Balticina,,,,"Gray, 1870",Gondul | Halipteris | Lygomorpha | Microptilum | Norticina | Osteocella | Pavonaria | Pavonaria (Verrillia) | Rakollikeria | Stichoptilum | Verrillia,DSCRTP_og_scientificname: Balticina,,2007-05-08,field ID by non-expert from video,,NaN,present,NaN,,,NaN,Live,,Collected by camera sled video,,,NaN,NaN,NaN,,NaN,NaN,NaN,North Pacific,California Current,USA,Pacific,Cordell Bank National Marine Sanctuary,,2007-05-08,2007,,37.91928,-123.37445,121,assigned,120,105,121,NaN,NaN,NaN,NaN,121,121,100m,,Depth value assigned from Coastal Relief Model,Fulmar/Sled 2007_03,Fulmar R/V,"Roberts, Dale","NOAA, Cordell Bank National Marine Sanctuary",CBNMS soft sediment characterization,,,towed camera,,,"NOAA, Cordell Bank National Marine Sanctuary","Graiff, Kaitlin: kaitlin.graiff@noaa.gov",2019-02-08,video observation,"NOAA, Cordell Bank National Marine Sanctuary",NOAA Central California Habitat Characterization and Monitoring,,,NOAA_FM-07-05,,
121653,sea pen,,Balticina,Halipteris,genus,146534,Cnidaria,Anthozoa,Octocorallia,Scleralcyonacea,,Balticinidae,,Balticina,,,,"Gray, 1870",Gondul | Halipteris | Lygomorpha | Microptilum | Norticina | Osteocella | Pavonaria | Pavonaria (Verrillia) | Rakollikeria | Stichoptilum | Verrillia,DSCRTP_og_scientificname: Balticina,,2007-05-08,field ID by non-expert from video,,NaN,present,NaN,,,NaN,Live,,Collected by camera sled video,,,NaN,NaN,NaN,,NaN,NaN,NaN,North Pacific,California Current,USA,Pacific,Cordell Bank National Marine Sanctuary,,2007-05-08,2007,,37.91948,-123.3747,121,assigned,120,105,121,NaN,NaN,NaN,NaN,121,121,100m,,Depth value assigned from Coastal Relief Model,Fulmar/Sled 2007_03,Fulmar R/V,"Roberts, Dale","NOAA, Cordell Bank National Marine Sanctuary",CBNMS soft sediment characterization,,,towed camera,,,"NOAA, Cordell Bank National Marine Sanctuary","Graiff, Kaitlin: kaitlin.graiff@noaa.gov",2019-02-08,video observation,"NOAA, Cordell Bank National Marine Sanctuary",NOAA Central California Habitat Characterization and Monitoring,,,NOAA_FM-07-05,,
121654,sea pen,,Balticina,Halipteris,genus,146534,Cnidaria,Anthozoa,Octocorallia,Scleralcyonacea,,Balticinidae,,Balticina,,,,"Gray, 1870",Gondul | Halipteris | Lygomorpha | Microptilum | Norticina | Osteocella | Pavonaria | Pavonaria (Verrillia) | Rakollikeria | Stichoptilum | Verrillia,DSCRTP_og_scientificname: Balticina,,2007-05-08,field ID by non-expert from video,,NaN,present,NaN,,,NaN,Live,,Collected by camera sled video,,,NaN,NaN,NaN,,NaN,NaN,NaN,North Pacific,California Current,USA,Pacific,Cordell Bank National Marine Sanctuary,,2007-05-08,2007,,37.91973,-123.37497,121,assigned,120,105,121,NaN,NaN,NaN,NaN,121,121,100m,,Depth value assigned from Coastal Relief Model,Fulmar/Sled 2007_03,Fulmar R/V,"Roberts, Dale","NOAA, Cordell Bank National Marine Sanctuary",CBNMS soft sediment characterization,,,towed camera,,,"NOAA, Cordell Bank National Marine Sanctuary","Graiff, Kaitlin: kaitlin.graiff@noaa.gov",2019-02-08,video observation,"NOAA, Cordell Bank National Marine Sanctuary",NOAA Central California Habitat Characterization and Monitoring,,,NOAA_FM-07-05,,
